id,name,level,country,profitableEffiieny,annualRevenue,employees,city,founded_year
375,"Hoffman, Santiago and Jenkins",4,Frane,318.3043478,29284,92,Paris,2010
376,"Pugh, Henderson and Moon",4,anada,203.4780702,46393,228,Edmonton,2002
377,Shmitt PL,4,China,132.4509804,40530,306,Shenzhen,2013
378,Bell-Lane,4,Frane,227.7922705,47153,207,Bordeaux,2002
379,Moore Group,4,UK,309.64,54187,175,Leeds,2007
380,Boone LL,4,Germany,126.3221884,41560,329,Munih,2016
381,"Rihardson, Farmer and Andrews",4,China,423.8173077,44077,104,Nanjing,2016
382,Brue-Villegas,4,India,118.4565657,58636,495,Kolkata,2023
383,"Austin, Day and Johnson",4,Germany,398.9746835,31519,79,Frankfurt,2003
384,"Gallegos, Adams and White",4,UK,216.3929712,67731,313,Liverpool,2005
385,"Farmer, Dorsey and Bell",4,Germany,83.28455285,40976,492,Munih,2005
386,Kane PL,4,anada,123.9974619,48855,394,Quebe ity,2018
387,"Morales, Thomas and Shultz",4,anada,109.8090909,36237,330,Halifax,2020
388,Davis PL,4,India,349.626087,80414,230,Kolkata,2004
389,Bennett Group,4,China,248.6341463,81552,328,Wuhan,2014
390,Moore-ollins,4,UK,2243.787879,74045,33,Glasgow,2018
391,Frank-Bradley,4,India,533.993865,87041,163,Surat,2002
392,Ware and Sons,4,anada,3196.852941,108693,34,Quebe ity,2001
393,Webster In,4,India,144.6567164,48460,335,hennai,2002
394,"Miller, Ramos and oleman",4,China,149.0037879,39337,264,Hangzhou,2019
395,"Ramos, Nelson and Fisher",4,Frane,154.2430556,44422,288,Montpellier,2018
396,Reed In,4,USA,308.4408284,104253,338,San Diego,2018
397,Gregory-Watkins,4,Japan,277.6451613,68856,248,Fukuoka,2019
398,"Estrada, Williams and Foster",4,Germany,2195.491228,125143,57,Berlin,2014
399,"Brown, Harris and Dougherty",4,India,347.1880597,116308,335,Delhi,2016
400,Duran LL,4,Germany,135.3405995,49670,367,Berlin,2007
401,Wilson-Jimenez,4,anada,185.5698529,50475,272,Quebe ity,2016
402,Thompson-James,4,Germany,211.3734177,100191,474,Stuttgart,2011
403,"Hall, Hansen and Barnett",4,UK,261.7331671,104955,401,Sheffield,2013
404,Jones-Hensley,4,India,463.7212714,189662,409,Jaipur,2001
405,Graham Group,4,India,837.9245283,44410,53,Delhi,2010
406,Atkins PL,4,Frane,105.3786667,39517,375,Nie,2008
407,Berry-Mkinney,4,Germany,206.8976898,62690,303,Stuttgart,2002
408,Roberts-Sullivan,4,Germany,120.768,60384,500,Stuttgart,2009
409,Jakson-Meza,4,Frane,202.0844687,74165,367,Lyon,2019
410,ollier-Gillespie,4,China,355.9035533,70113,197,hengdu,2017
411,Kim In,4,India,81.22802198,29567,364,Bangalore,2021
412,Graham Group,4,China,612.3894737,116354,190,Tianjin,2016
413,"Miller, Harrell and Reese",4,USA,1258.010309,122027,97,Philadelphia,2009
414,ook and Sons,4,Japan,484.223301,49875,103,Fukuoka,2015
415,Dixon In,4,Japan,1277.022727,56189,44,Yokohama,2004
416,"Hiks, Bullok and Bailey",4,UK,102.5137845,40903,399,Manhester,2016
417,"Mullen, Brewer and Hernandez",4,USA,1638,117936,72,Philadelphia,2019
418,Thomas and Sons,4,Frane,675.5257732,65526,97,Lyon,2005
419,Morrison Ltd,4,Germany,534.5953488,114938,215,Dortmund,2001
420,Thompson Ltd,4,India,194.6687697,61710,317,Hyderabad,2014
421,Marshall-Elliott,4,UK,180.2805755,50118,278,Edinburgh,2007
422,"ole, Glass and unningham",4,Japan,162.6445396,75955,467,Sapporo,2015
423,"Downs, Morris and Maddox",4,Japan,111.7177914,54630,489,Fukuoka,2021
424,Hernandez-Jones,4,anada,173.3002481,69840,403,Quebe ity,2009
425,Welh-Hogan,4,Frane,247.1187215,54119,219,Bordeaux,2016
426,"Brown, Romero and ollins",4,Germany,643,48225,75,Frankfurt,2019
427,Johnson-Wood,4,UK,196.063745,49212,251,London,2020
428,Jones-Lin,4,India,51.87804878,19143,369,Surat,2003
429,Gilbert PL,4,China,172.0379747,67955,395,hengdu,2002
430,Ford-Spener,4,Germany,151.9679487,71121,468,ologne,2014
431,"Huang, ole and Paheo",4,Germany,133.5705521,65316,489,D眉sseldorf,2002
432,"Lopez, Jaobs and Mason",4,Japan,247.989605,119283,481,Kyoto,2011
433,Hayes LL,4,USA,310.9806763,64373,207,San Antonio,2001
434,"Miller, Luas and Williams",4,India,924.8695652,42544,46,Hyderabad,2012
435,"Kim, Gonzales and Mills",4,India,863.6547619,145094,168,Hyderabad,2000
436,ox LL,4,China,848.6133333,63646,75,hongqing,2004
437,Ortiz-Morgan,4,USA,363.2686981,131140,361,Phoenix,2015
438,"Williams, Moy and ook",4,Germany,252.45625,80786,320,Dortmund,2014
439,Davis-Gregory,4,USA,426.5367647,58009,136,Los Angeles,2000
440,King-York,4,Japan,203.6646091,98981,486,Yokohama,2017
441,"Marks, ook and Aguilar",4,Frane,838.6428571,105669,126,Marseille,2009
442,Rangel LL,4,UK,667.2598425,84742,127,Manhester,2001
443,"Hale, Myers and Larson",4,Frane,1731.135135,64052,37,Lille,2014
444,ollins Group,4,China,198.0250896,55249,279,Wuhan,2019
445,"onner, Li and Santiago",4,USA,210.2109375,26907,128,Dallas,2018
446,"Osborn, Gaines and Davis",4,Germany,15131.6,75658,5,ologne,2013
447,"Henderson, ox and ox",4,India,243.3211009,53044,218,Hyderabad,2018
448,Bean LL,4,Germany,709.3280423,134063,189,Munih,2016
449,Lee-ooke,4,China,195.4431818,51597,264,Nanjing,2017
450,Jones In,4,USA,3355.37037,90595,27,San Antonio,2015
451,"Wise, onley and Stephenson",4,Frane,160.870801,62257,387,Nantes,2008
452,Stanley PL,4,USA,521.8729282,94459,181,Philadelphia,2002
453,Harper and Sons,4,Japan,122.2152231,46564,381,Osaka,2018
454,White Ltd,4,India,183.5297297,33953,185,Bangalore,2001
455,"Lamb, Martin and Kim",4,India,144.2024793,34897,242,Bangalore,2021
456,Diaz-Ball,4,anada,1855.135135,68640,37,Vanouver,2004
457,Bishop-Goodwin,4,anada,414.2407407,44738,108,Toronto,2009
458,Young-Allen,4,USA,552.4939759,91714,166,Houston,2001
459,Mkee-Lee,4,UK,201.9407583,85219,422,Bristol,2012
460,"Valentine, Joye and Murray",4,anada,94.67692308,36924,390,Ottawa,2001
461,Strikland-Shaw,4,Japan,314.7040359,140358,446,Sapporo,2011
462,Burh-Montoya,4,USA,592.6911765,40303,68,Philadelphia,2008
463,"Taylor, Wright and Davidson",4,India,186.9974026,71994,385,Ahmedabad,2012
464,Spener-Garia,4,anada,600.17,60017,100,Winnipeg,2010
465,"Rosales, Mithell and Hines",4,anada,70.30334728,33605,478,Quebe ity,2011
466,ole-Palmer,4,UK,597.4189189,132627,222,Manhester,2023
467,Davis-Lozano,4,China,129.0140845,54960,426,Tianjin,2019
468,Wilkerson-Arias,4,Germany,190.6804734,32225,169,Essen,2009
469,Brown-Shaw,4,China,134.2827988,46059,343,Shanghai,2010
470,Hughes In,4,UK,111.0734824,34766,313,Glasgow,2014
471,Walker-Flores,4,Frane,216.0517241,50124,232,Lyon,2022
472,ombs Ltd,4,India,134.0981432,50555,377,Pune,2001
473,Moody-Taylor,4,India,170.5172414,24725,145,Jaipur,2013
474,Lowery-Kennedy,4,USA,55.85498489,18488,331,Los Angeles,2021
475,Blake Group,4,Frane,163.0578313,67669,415,Nantes,2016
476,Gilbert-Bullok,4,Germany,131.5649203,57757,439,Berlin,2004
477,Sott and Sons,4,anada,750.2307692,29259,39,Toronto,2004
478,"Bentley, Lynh and Henderson",4,Japan,144.5572139,29056,201,Fukuoka,2011
479,Young-Martinez,4,USA,142.9488636,50318,352,San Jose,2004
480,Barnes PL,4,anada,145.0344828,33648,232,Edmonton,2011
481,Brown-opeland,4,China,337.9275362,93268,276,Hangzhou,2004
482,arlson-Smith,4,India,219.8753709,74098,337,Ahmedabad,2010
483,"Andrews, Higgins and arter",4,UK,1808.833333,32559,18,Liverpool,2003
484,Mendez and Sons,4,Germany,177.0541872,35942,203,Dortmund,2016
485,"Butler, Bek and Miller",4,China,112.9068493,41211,365,hengdu,2008
486,Jones-Fox,4,anada,215.1390728,32486,151,algary,2019
487,"Hartman, Romero and Smith",4,anada,338.9189189,25080,74,algary,2003
488,Williams-Hughes,4,China,283.3849462,131774,465,Wuhan,2005
489,King-Smith,4,anada,219.966,109983,500,Montreal,2021
490,ooper Ltd,4,India,2993.236842,113743,38,Kolkata,2022
491,"Fuller, Ingram and Moss",4,UK,218.1680217,80504,369,Glasgow,2005
492,Anderson-Bell,4,Germany,1053.983193,125424,119,Stuttgart,2016
493,Li-Thompson,4,China,337.8253968,42566,126,Shenzhen,2004
494,"Marshall, Dominguez and Welh",4,anada,155.1493056,44683,288,Toronto,2011
495,Brown Group,4,India,925.5915493,65717,71,Pune,2017
496,arter In,4,China,189.9230769,39504,208,Shanghai,2009
497,Blakwell LL,4,anada,155.2763819,61800,398,Hamilton,2013
498,Robertson-Hays,4,Frane,869.9130435,60024,69,Lille,2002
499,"Kennedy, Johnson and Luas",4,India,155.4156379,37766,243,Delhi,2014
500,Kelly-Norman,4,India,228.6837349,75923,332,Bangalore,2017
501,"Rivera, Martinez and Rihardson",4,Germany,130.6450382,34229,262,Hamburg,2013
502,Paul-Kline,4,USA,743.1445783,61681,83,Los Angeles,2016
503,Morgan-Lopez,4,UK,620.5941176,105501,170,Birmingham,2005
504,"Jimenez, Glass and Stone",4,Japan,164.0971922,75977,463,Fukuoka,2016
505,Aosta In,4,UK,1135.057143,119181,105,Manhester,2008
506,Morrison-Short,4,UK,440.6,70496,160,Birmingham,2020
507,"arter, Garia and Murphy",4,China,1352.406593,123069,91,Nanjing,2020
508,Parker-Morrison,4,Germany,127.0308642,41158,324,Hamburg,2021
509,Jakson-Wallae,4,India,296.4051522,126565,427,Jaipur,2001
510,Williams-Berg,4,USA,143.7387755,70432,490,Los Angeles,2001
511,Mendez-Graham,4,UK,250.3807339,54583,218,Liverpool,2018
512,"Whitney, Gould and Jones",4,USA,179.6866197,51031,284,San Diego,2020
513,"Sullivan, Palmer and Brady",4,UK,300.1153846,39015,130,Glasgow,2015
514,isneros and Sons,4,Frane,1914.261905,80399,42,Nie,2014
515,"Gregory, Kim and Martinez",4,USA,174.9861751,37972,217,hiago,2014
516,Osborne LL,4,anada,193.3854749,34616,179,Quebe ity,2006
517,Reyes-Bradley,4,Germany,328.0952381,55120,168,Stuttgart,2022
518,"Hernandez, ole and Watson",4,India,339.7588832,133865,394,Ahmedabad,2004
519,Hines-Berry,4,India,1066.389831,62917,59,Surat,2017
520,"Rihardson, Edwards and Ramirez",4,India,1562.38806,104680,67,Hyderabad,2014
521,Johnson and Sons,4,UK,529.8831169,40801,77,Edinburgh,2007
522,Holmes-Mintyre,4,China,69.97341513,34217,489,Beijing,2009
523,Green LL,4,Frane,379.6742424,50117,132,Lille,2013
524,"Griffin, Davies and Mithell",4,Germany,109.9385027,41117,374,Stuttgart,2018
525,Gonzalez-Taylor,4,India,86.13461538,22395,260,Hyderabad,2005
526,Hayes Ltd,4,anada,179.3204633,46444,259,Quebe ity,2009
527,Osborn-ohran,4,USA,582.1368821,153102,263,Los Angeles,2012
528,ontreras-Mkinney,4,anada,264.4752475,80136,303,algary,2006
529,"Daniels, Vane and York",4,India,498.1073826,74218,149,Mumbai,2001
530,"Mkinney, Graves and Thompson",4,anada,135.0601719,47136,349,Halifax,2020
531,Hiks-Martinez,4,anada,8931.666667,80385,9,Ottawa,2017
532,onner and Sons,4,China,132.622807,60476,456,Tianjin,2004
533,Johnson-Spener,4,UK,254.28125,48822,192,Leeds,2012
534,Mdonald-Bird,4,USA,298.5743243,88378,296,San Antonio,2001
535,Salazar In,4,Japan,634.9078947,96506,152,Fukuoka,2017
536,Parker Ltd,4,China,263.493617,61921,235,Tianjin,2016
537,"Mendoza, Jenkins and Ortiz",4,UK,172.1671924,54577,317,ardiff,2021
538,"Jones, ompton and Day",4,China,411.5048544,84770,206,Guangzhou,2003
539,Owens-Holmes,4,India,145.3938144,70516,485,Kolkata,2017
540,Humphrey PL,4,India,119.7380192,37478,313,Bangalore,2006
541,"Matthews, Saunders and Anderson",4,Frane,2222.392857,62227,28,Bordeaux,2001
542,"Bartlett, Brown and Martinez",4,USA,526.5885714,92153,175,hiago,2022
543,Torres and Sons,4,anada,344.2222222,27882,81,Hamilton,2014
544,Donovan-Perez,4,Germany,736.8392857,123789,168,Stuttgart,2019
545,"Jaobson, Singleton and King",4,Germany,147.6736292,56559,383,D眉sseldorf,2019
546,"Huber, Hill and Weber",4,UK,230.8257576,60938,264,ardiff,2010
547,"Ferguson, Shaw and Jakson",4,anada,581.5685484,144229,248,Halifax,2009
548,"Moore, Hopkins and Le",4,USA,105.4756447,36811,349,Philadelphia,2010
549,"Morgan, Bradshaw and Williams",4,China,207.4567901,33608,162,Tianjin,2018
550,Miller Ltd,4,USA,503.5214286,70493,140,San Jose,2015
551,"Baker, lark and Armstrong",4,Japan,246.452,61613,250,Tokyo,2018
552,"Fowler, Jimenez and Burton",4,Germany,94.50802139,35346,374,Essen,2020
553,May-Turner,4,Frane,1188.077519,153262,129,Lyon,2021
554,Ballard Ltd,4,USA,566.9836066,34586,61,San Jose,2022
555,Evans-Jones,4,Japan,358.9878788,59233,165,Tokyo,2014
556,Moore Group,4,Frane,113.8603352,40762,358,Lyon,2013
557,Marshall-Peterson,4,Japan,100.765586,40407,401,Kobe,2016
558,Edwards Ltd,4,anada,1183.64,88773,75,Toronto,2022
559,Gross-Valenia,4,Japan,113.8168605,39153,344,Kawasaki,2010
560,Anderson-Wood,4,anada,481.7878788,79495,165,Hamilton,2012
561,"Rodriguez, Allen and Martinez",4,Germany,258.3222222,46498,180,Dortmund,2017
562,Wright-Davis,4,India,246.8015873,62194,252,hennai,2019
563,Dougherty-Lin,4,Japan,325.0724138,94271,290,Nagoya,2008
564,Wright-Grimes,4,UK,152.2180451,60735,399,Liverpool,2009
565,Li PL,4,UK,136.830137,49943,365,Liverpool,2022
566,"Edwards, Hines and Jimenez",4,anada,491.8360656,90006,183,Edmonton,2015
567,"Owens, Koh and Jimenez",4,UK,282.1040268,84067,298,Glasgow,2003
568,Landry PL,4,Frane,117.040568,57701,493,Strasbourg,2011
569,Levy-Lewis,4,Germany,574.0328947,87253,152,ologne,2001
570,Williams-ampbell,4,China,267.2617647,90869,340,hongqing,2014
571,"Khan, Pena and Ruiz",4,UK,566.9074074,61226,108,Edinburgh,2006
572,"Smith, Rodriguez and Anderson",4,UK,679.1458333,97797,144,Bristol,2022
573,Luna-Gallagher,4,Germany,207.7552083,79778,384,Munih,2019
574,Williams-Williams,4,Japan,528.5244957,183398,347,Nagoya,2001
575,"Lee, Tran and Jones",4,Japan,927.625,51947,56,Nagoya,2001
576,"ole, Piere and Bryan",4,Frane,311.1422764,76541,246,Nantes,2022
577,"Beker, Wilson and Hester",4,China,84.41967871,42041,498,Guangzhou,2000
578,Brooks-Hatfield,4,Germany,141.5817805,68384,483,D眉sseldorf,2020
579,"Mmillan, Fisher and Gonzalez",4,anada,577.3551402,61777,107,Quebe ity,2020
580,"Morales, Williams and Williams",4,UK,302.3850746,101299,335,Leeds,2009
581,"ook, Wells and Bryant",4,USA,478.0704698,142465,298,Los Angeles,2020
582,"Barry, Taylor and Velazquez",4,Japan,232.1653333,87062,375,Kawasaki,2023
583,Martin-Ewing,4,USA,107.8947368,49200,456,hiago,2013
584,"Kirby, Wheeler and Romero",4,Germany,279.9264706,114210,408,Berlin,2012
585,"Patel, Erikson and Evans",4,anada,87.3501006,43413,497,Vanouver,2023
586,Rihardson Ltd,4,UK,1156.789809,181616,157,London,2000
587,Whitney PL,4,China,446.2236287,105755,237,hongqing,2009
588,Robles-Swanson,4,anada,93.16803279,22733,244,Vanouver,2016
589,"Soto, arlson and Baker",4,UK,185.091954,32206,174,Liverpool,2003
590,"Patton, Parsons and Lane",4,Germany,888.4705882,120832,136,Dortmund,2020
591,"Williams, astillo and Warren",4,Germany,312.5367232,55319,177,Berlin,2023
592,"Harvey, Randall and Hernandez",4,UK,77.28571429,30296,392,ardiff,2021
593,"Allen, Armstrong and Graves",4,Japan,66.3227991,29381,443,Yokohama,2019
594,Smith LL,4,Frane,750.3081395,129053,172,Strasbourg,2016
595,Hernandez-Vaughn,4,China,2020.924528,107109,53,Tianjin,2021
596,Shaw-arr,4,Germany,802.7764706,136472,170,Hamburg,2015
597,Salas-Fitzgerald,4,Japan,520.0348259,104527,201,Tokyo,2008
598,Thornton PL,4,Japan,86.29006085,42541,493,Kyoto,2008
599,Hoffman Ltd,4,India,116.0906667,43534,375,hennai,2018
600,Fox-Edwards,4,USA,340.8624339,64423,189,Phoenix,2020
601,Stevens PL,4,Japan,849.2615385,55202,65,Tokyo,2021
602,Payne-Lowe,4,anada,218.3113208,46282,212,Ottawa,2005
603,"Beker, Lara and Baker",4,UK,125.5316456,59502,474,Manhester,2020
604,Lee-Wright,4,UK,666.2627119,78619,118,Leeds,2019
605,"Evans, David and Hendrix",4,Japan,1601.542169,132928,83,Yokohama,2015
606,Bush-Vaughn,4,anada,309.9262673,67254,217,Halifax,2011
607,Stewart-Bailey,4,anada,50.16861827,21422,427,Hamilton,2021
608,"Hill, Martinez and Rhodes",4,Japan,102.7161125,40162,391,Nagoya,2021
609,Huang-Foster,4,China,168.6363636,46375,275,Nanjing,2014
610,Blevins-Ballard,4,India,1212.516129,75176,62,Delhi,2018
611,Williams-Moses,4,USA,944.0185185,101954,108,Dallas,2016
612,Reed Group,4,Germany,156.0588235,68978,442,Hamburg,2010
613,"Sott, Mendoza and Harris",4,anada,502.9,55319,110,Montreal,2021
614,"Nelson, Hoffman and Nelson",4,anada,154.3090129,35954,233,Montreal,2016
615,Gilbert PL,4,USA,141.2022472,37701,267,San Diego,2004
616,Sanhez Ltd,4,Frane,1023.676471,34805,34,Montpellier,2018
617,"Perez, Hall and Garia",4,anada,2727.125,43634,16,Ottawa,2023
618,Love-Garia,4,Frane,137.6165803,53120,386,Nie,2000
619,Smith PL,4,Japan,3905.821429,109363,28,Saitama,2002
620,Russell Group,4,Frane,777.2162162,28757,37,Nantes,2022
621,Santos-Avila,4,USA,3530.142857,74133,21,Los Angeles,2015
622,Morris-Brewer,4,UK,214.1005025,85212,398,Sheffield,2005
623,Pearson and Sons,4,Germany,197.5770065,91083,461,D眉sseldorf,2011
624,"Rodgers, Jefferson and Johnson",4,Frane,179.4822335,35358,197,Montpellier,2012
625,Butler and Sons,4,China,182.519174,61874,339,Nanjing,2004
626,Osborn Group,4,India,134.0464286,37533,280,Delhi,2005
627,Lopez-urry,4,Frane,83.01061008,31295,377,Bordeaux,2004
628,Mdowell-Smith,4,Japan,382.2292994,60010,157,Tokyo,2000
629,"Morrison, Hebert and Rogers",4,anada,222.6101083,61663,277,Hamilton,2013
630,Hays-Daniels,4,Frane,154.9625,37191,240,Toulouse,2007
631,Small-Anderson,4,India,510.8712871,51598,101,Bangalore,2008
632,"Mdonald, Lee and Rodriguez",4,China,366.9817352,80369,219,Beijing,2021
633,Simon Ltd,4,USA,1745.384615,68070,39,Houston,2006
634,Higgins-Smith,4,China,245.7296137,57255,233,Hangzhou,2001
635,Gibbs-Bradley,4,USA,1268.111111,34239,27,Houston,2023
636,Thompson Ltd,4,Frane,354.797153,99698,281,Montpellier,2007
637,Wilox-Robertson,4,Japan,119.5534351,31323,262,Tokyo,2004
638,Morales In,4,UK,129.5919732,38748,299,Liverpool,2023
639,Holden Group,4,India,535.0475,214019,400,Jaipur,2019
640,Boyle-Smith,4,India,121.6512141,55108,453,Hyderabad,2009
641,Young-Molina,4,Germany,95.0787037,20537,216,Essen,2007
642,Turner-Sharp,4,UK,294.037931,85271,290,Glasgow,2001
643,Green LL,4,Germany,272.3643411,70270,258,D眉sseldorf,2017
644,"Young, ontreras and Marshall",4,USA,68.97126437,24002,348,Philadelphia,2020
645,Sullivan PL,4,Frane,75.69529086,27326,361,Bordeaux,2010
646,"arrillo, Vaughn and Fowler",4,Frane,338.6582278,53508,158,Strasbourg,2004
647,Rihardson-Walker,4,Frane,292.2591093,72188,247,Lyon,2017
648,Mendoza Group,4,Japan,153.1509009,67999,444,Nagoya,2009
649,"Zhang, Brooks and Miles",4,Germany,163.9657534,47878,292,Dortmund,2001
650,Todd-Pham,4,Frane,289.0507246,79778,276,Strasbourg,2017
651,Gill Ltd,4,Germany,966.6814815,130502,135,D眉sseldorf,2007
652,"Marks, Miller and Griffin",4,Japan,1188.622222,53488,45,Fukuoka,2020
653,"ox, Stark and Rodriguez",4,anada,205.2867384,57275,279,Edmonton,2002
654,"Leah, Harris and Herrera",4,Japan,346.8535354,68677,198,Tokyo,2008
655,Murphy PL,4,USA,81.69711538,33986,416,Los Angeles,2006
656,Wilson-Harris,4,Japan,380.3777778,171170,450,Kyoto,2006
657,"Burns, Nolan and Griffin",4,India,665.6548673,75219,113,hennai,2000
658,havez PL,4,Japan,191.8286445,75005,391,Osaka,2023
659,Bryant-Brown,4,anada,149.6624204,46994,314,algary,2022
660,hambers-Parker,4,Japan,133.6376307,38354,287,Kobe,2007
661,Foster In,4,India,280.090535,68062,243,hennai,2012
662,"Robinson, Jones and Henderson",4,India,465.8941799,88054,189,hennai,2008
663,"Brown, Mknight and Mihael",4,anada,166.0769231,69088,416,Quebe ity,2003
664,Andersen Group,4,anada,353.1958763,68520,194,Edmonton,2006
665,Mithell and Sons,4,India,265.2832765,77728,293,Ahmedabad,2001
666,annon Ltd,4,Japan,404.4057971,55808,138,Yokohama,2000
667,"Stuart, Brooks and Vane",4,Frane,1302.647619,136778,105,Nie,2004
668,Kane-Knox,4,India,145.3006757,43009,296,Hyderabad,2012
669,Miller-Brandt,4,Japan,46.27058824,15732,340,Kyoto,2017
670,"Anderson, Dalton and Wilson",4,India,112.8677355,56321,499,hennai,2015
671,"Long, Anderson and Irwin",4,anada,100.3657895,38139,380,Quebe ity,2005
672,Avila LL,4,India,132.2117962,49315,373,Bangalore,2004
673,Nunez-Stephens,4,anada,155.5885886,51811,333,Vanouver,2017
674,"Gray, Hall and Murray",4,USA,114.937788,49883,434,Dallas,2001
675,Hill Ltd,4,China,313.2824074,67669,216,Beijing,2000
676,Johnson Ltd,4,Germany,118.0599455,43328,367,Frankfurt,2002
677,Mendez-Mayer,4,Germany,361.0076046,94945,263,Berlin,2006
678,Allen In,4,anada,213.1339564,68416,321,Edmonton,2001
679,Wheeler Group,4,anada,5022.75,40182,8,Quebe ity,2000
680,"Powers, Brennan and Sanhez",4,Frane,159.5797101,44044,276,Paris,2000
681,Morales and Sons,4,UK,5627,73151,13,Bristol,2009
682,"Robinson, Shields and Brown",4,Frane,140.0315789,66515,475,Lyon,2003
683,"Holder, Young and Hendriks",4,China,276.09375,35340,128,Nanjing,2004
684,"Flores, Harper and hambers",4,Japan,401.6044776,53815,134,Saitama,2016
685,Young-Walter,4,India,1891.977778,85139,45,hennai,2012
686,"Boyd, Gutierrez and Hill",4,India,398.3979592,117129,294,Ahmedabad,2014
687,"Fry, Hobbs and Buk",4,Japan,147.4535211,52346,355,Nagoya,2009
688,"Shelton, Peters and Williams",4,China,352.1792453,74662,212,Beijing,2002
689,David-Powers,4,Frane,268.7419355,66648,248,Strasbourg,2017
690,"Flores, Butler and Hernandez",4,USA,822.1956522,75642,92,New York,2022
691,White-Medina,4,China,148.2597015,49667,335,Wuhan,2013
692,Atkinson LL,4,India,83.10367171,38477,463,Jaipur,2003
693,"Thomas, Ford and Brown",4,USA,67.07081545,31255,466,Houston,2006
694,Faulkner-Grant,4,anada,102.2008368,48852,478,Ottawa,2001
695,Prie LL,4,China,616.6143345,180668,293,hengdu,2017
696,Rivera In,4,USA,1441.615385,18741,13,hiago,2010
697,Boone-Davis,4,Japan,296.9923077,115827,390,Saitama,2004
698,"alderon, Williams and Bennett",4,Frane,1162.579545,102307,88,Marseille,2009
699,"Morrison, Russo and Lopez",4,Japan,240.5156695,84421,351,Saitama,2012
700,"Ramsey, Hansen and Mendoza",4,India,896.3947368,68126,76,Ahmedabad,2023
701,Turner-Stout,4,China,472.6043956,86014,182,Nanjing,2023
702,Giles Ltd,4,USA,350.0569106,43057,123,Los Angeles,2013
703,Burgess Group,4,China,321.4472362,127936,398,hongqing,2019
704,Dominguez Ltd,4,Frane,100.0395137,32913,329,Nantes,2000
705,Sanders and Sons,4,UK,274.3966942,33202,121,Edinburgh,2015
706,"Morris, ampbell and Owens",4,India,222.9424779,50385,226,Surat,2012
707,"Howard, Green and Hunt",4,Germany,76.59296482,15242,199,Leipzig,2021
708,Owens-Lang,4,China,78.23002421,32309,413,Hangzhou,2009
709,"Harrison, Frano and Roha",4,Japan,364.9859155,51828,142,Osaka,2002
710,Edwards-Williams,4,Germany,345.2044335,140153,406,D眉sseldorf,2022
711,Figueroa In,4,Germany,308.8518519,58373,189,D眉sseldorf,2010
712,Tran-Silva,4,China,142.301848,69301,487,Shanghai,2000
713,"Butler, Hernandez and Rivera",4,UK,187.6751269,73944,394,Edinburgh,2011
714,Hudson-Sanhez,4,UK,2411.938776,118185,49,Manhester,2004
715,"Pena, ohen and Sott",4,Germany,137.4517241,39861,290,D眉sseldorf,2014
716,Levy-May,4,Frane,745.5,37275,50,Marseille,2000
717,Murray-Oonnor,4,India,171.4387097,53146,310,Surat,2002
718,Jakson-ortez,4,India,194.9415584,30021,154,Ahmedabad,2000
719,White-Preston,4,Frane,139.8696809,52591,376,Strasbourg,2002
720,"Bernard, Warren and ombs",4,Japan,860.0549451,78265,91,Saitama,2016
721,Landry Ltd,4,Frane,770.0633803,109349,142,Lyon,2004
722,Duran Group,4,UK,2001.189873,158094,79,Glasgow,2015
723,Kirby and Sons,4,China,209.7671233,30626,146,Guangzhou,2013
724,Mann In,4,Frane,93.88888889,38025,405,Nie,2015
725,Wagner LL,4,China,77.78278689,37958,488,hongqing,2008
726,Williamson Ltd,4,Japan,140.9125,45092,320,Kyoto,2019
727,"Durham, Hopkins and Smith",4,Japan,1189.243243,88004,74,Kyoto,2003
728,"Arnold, Smith and Moreno",4,UK,339.5942857,59429,175,London,2012
729,Nihols-Mithell,4,Frane,358.6079545,63115,176,Nantes,2014
730,"Li, raig and Drake",4,Frane,362.7911392,57321,158,Lille,2004
731,Rodriguez In,4,India,413.4018692,44234,107,Jaipur,2022
732,"Hernandez, Lee and Fox",4,anada,65.15863454,32449,498,Edmonton,2005
733,Adams-Sanders,4,Frane,45.04724409,17163,381,Nantes,2009
734,hung-Stevens,4,anada,404.3625731,69146,171,Halifax,2007
735,Branh and Sons,4,Frane,417.1151832,79669,191,Nie,2012
736,Sutton-Abbott,4,China,503.5324675,155088,308,Hangzhou,2006
737,"Frey, Santos and Johnson",4,Germany,193.1788618,95044,492,Essen,2000
738,Gray-Tran,4,anada,195.4866828,80736,413,algary,2014
739,Walsh Ltd,4,UK,172.2750716,60124,349,Manhester,2013
740,Miller Group,4,anada,478.3,76528,160,Vanouver,2020
741,"Mueller, Knight and Hodge",4,Japan,462.3855422,38378,83,Sapporo,2021
742,Jaobson In,4,Frane,390.542735,91387,234,Strasbourg,2002
743,Lewis Ltd,4,anada,525.4352518,146071,278,Halifax,2012
744,"Alvarez, Williams and Jones",4,Frane,130.3154034,53299,409,Bordeaux,2001
745,Lam-Elliott,4,India,289.5015106,95825,331,Surat,2019
746,White LL,4,China,107.5542522,36676,341,Shanghai,2007
747,Ali PL,4,India,182.0062893,57878,318,Bangalore,2020
748,Goodwin Ltd,4,USA,137.5071225,48265,351,San Jose,2020
749,Hikman-Evans,4,Frane,295.3050847,17423,59,Nantes,2013
750,"Allen, Davenport and Prie",4,USA,736.4745763,86904,118,Los Angeles,2008
